magic_number,ASCII,offset,extension,description
52 4b 4d 43 32 31 30,RKMC210,0,,Vormetric Encryption DPM Version 2.1 Header[98]
00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65,␀␁␀␀MSISAM Database,0,mny,Microsoft Money file
00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42,␀␁␀␀Standard ACE DB,0,accdb,Microsoft Access 2007 Database
00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42,␀␁␀␀Standard Jet DB,0,mdb,Microsoft Access Database
01 FF 02 04 03 02,␁ÿ␂␄␃␂,0,drw,Micrografx vector graphic file
02 64 73 73,␂dss,0,dss,"Digital Speech Standard (Olympus, Grundig, & Phillips) v2"
03 64 73 73,␃dss,0,dss,"Digital Speech Standard (Olympus, Grundig, & Phillips) v3"
03 00 00 00 41 50 50 52,␃␀␀␀APPR,0,adx,Approach index file
06 06 ED F5 D8 1D 46 E5 BD 31 EF E7 FE 74 B7 1D,␆␆íõØ␝Få½1ïçþt·␝,0,indd,Adobe InDesign document
06 0E 2B 34 02 05 01 01 0D 01 02 01 01 02,␆␎+4␂␅␁␁␍␁␂␁␁␂,0-65535 (run-in),mxf,Material Exchange Format file
07 53 4B 46,␇SKF,0,skf,SkinCrafter skin file
07 64 74 32 64 64 74 64,␇dt2ddtd,0,dtd,DesignTools 2D Design file
0A 16 6F 72 67 2E 62 69 74 63 6F 69 6E 2E 70 72,␊␖org.bitcoin.pr,0,wallet,MultiBit Bitcoin wallet file
0D 44 4F 43,␍DOC,0,doc,DeskMate Document file
0E 4E 65 72 6F 49 53 4F,␎NeroISO,0,nri,Nero CD Compilation
0E 57 4B 53,␎WKS,0,wks,DeskMate Worksheet
0F 53 49 42 45 4C 49 55 53,␏SIBELIUS,0,sib,Sibelius Music - Score file
23 20 4D 69 63 72 6F 73 6F 66 74 20 44 65 76 65 6C 6F 70 65 72 20 53 74 75 64 69 6F,# Microsoft Developer Studio,0,dsp,Microsoft Developer Studio project file
23 21 41 4D 52,#!AMR,0,amr,"Adaptive Multi-Rate ACELP (Algebraic Code Excited Linear Prediction) Codec, commonly audio format with GSM cell phones."
23 21 53 49 4C 4B 0A,#!SILK␊,0,sil,Audio compression format developed by Skype
23 3F 52 41 44 49 41 4E 43 45 0A,#?RADIANCE␊,0,hdr,Radiance High Dynamic Range image file
23 40 7E 5E,#@~^,0,vbe,VBScript Encoded script
0D F0 1D C0,␍ð�À,0,cdb,MikroTik WinBox Connection Database (Address Book)
23 45 58 54 4D 33 55,#EXTM3U,0,m3um3u8,Multimedia playlist
6D 64 66 00,mdf␀,0,m,"M2 Archive, used by game developerM2"
4B 50 4B 41,KPKA,0,pak,CapcomRE Enginegame data archives
41 52 43,ARC,0,arc,CapcomMT Frameworkgame data archives
41 72 43,ArC,0,arccdx,FreeArcfile
D0 4F 50 53,ÐOPS,0,pl,InterleafPrinterLeaf / WorldView document format (nowBroadvisionQuickSilver)
6E 2B 31 00,n+1,344,nii,"Single fileNIfTIformat, used extensively in biomedical imaging."
6E 69 31 00,ni1,344,hdr,"Header file of a .hdr/.img pair inNIfTIformat, used extensively in biomedical imaging."
52 41 46 36 34,RAF64,0,,Report Builder file fromDigital Metaphors
56 49 53 33,VIS3,0,,Resource fileVisionaire 3.x Engine
4D 53 48 7C42 53 48 7C,MSH|BSH|,0,hl7,Health Level Seven (HL7) Standard for electronic data exchange[1]
70 77 72 64 61 74 61,pwrdata,0,pwrdata,SAPPower Monitor(version 1.1.0 and higher) data file
1a 08,..,0,arc,ARC archive file
2d 2d 2d 2d 2d 42 45 47 49 4e 20 50 47 50 20 50 55 42 4c 49 43 20 4b 45 49 20 42 4c 4f 43 4b 2d 2d 2d 2d 2d,-----BEGIN PGP PUBLIC KEY BLOCK-----,0,asc,Armored PGP public key
3a 42 61 73 65 20,:Base,0,cnt,Windows 3.x - Windows 95 Help Contents
52 49 46 46 ?? ?? ?? ?? 56 44 52 4d,RIFF????VDRM,0,vdr,VirtualDub
52 59 46 46 ?? ?? ?? ?? 54 52 49 44,RIFF????TRID,0,trd,TrID
52 49 46 46 ?? ?? ?? ?? 73 68 77 34,RIFF????shw4,0,shw,Corel SHOW! 4.0
52 49 46 46 ?? ?? ?? ?? 73 68 77 35,RIFF????shw5,0,shw,Corel SHOW! 5.0
52 49 46 46 ?? ?? ?? ?? 73 68 72 35,RIFF????shr5,0,shr,Corel SHOW! 5.0 player
52 49 46 46 ?? ?? ?? ?? 73 68 62 35,RIFF????shb5,0,shb,Corel SHOW! 5.0 background
52 49 46 46 ?? ?? ?? ?? 52 4d 4d 50,RIFF????RMMP,0,mmm,MacroMind Multimedia Movie or Microsoft Multimedia Movie
41 53 54 4d 2d 45 35 37,ASTM-E57,0,e57,ASTM E57 3D file format
aa aa aa aa,ªªªª,0,sys,CrowdstrikeChannel File
8C 0A 00,Œ..,0,ucas,Unreal EngineCompressed Asset Storage file
2D 3D 3D 2D 2D 3D 3D 2D 2D 3D 3D 2D 2D 3D 3D 2D,-==--==--==--==-,0,utoc,Unreal EngineTable of Contents file
43 36 34 46 69 6C 65 00,C64File,0,"P00 (P01, P02,...)",Commodore 64binary file (source:*.P00 format for Power64 emulator)
44 55 43 4B,DUCK,8,,DuckDBdatabase file (source:Source code)
4C 50 4B 53 48 48 52 48,LPKSHHRH,0,journal,journaldlog file[99]
E0 01 00 EA,ê␀␁à,0,,Ion (serialization format)binary encoding[100]
42 53 44 49 46 46 34 30,BSDIFF40,0,,bsdiffbinary patch
7C 61 8A B2,|aŠ²,0,hpapphpprgmhpsettings,HP Primegraphing calculator file
43 5A 50 58,CZPX,0,czx,Czip Xencrypted archive (v4.x)
43 50 43 48,CPCH,0,pch,Clangpre-compiled header
